book_id,author_id,book_genre,reader_id,num_pages,book_rating,publisher_id,publish_year,book_price,text_lang
539,294,10,3757,646,7,8,2008,54,5
1093,221,2,19562,619,5,45,2002,7,5
2773,361,9,10034,321,3,48,2015,151,1
1519,238,5,15230,366,4,7,2020,59,5
2498,57,10,8437,197,8,39,2018,157,7
865,285,6,15156,518,3,12,2005,57,3
247,145,2,202,688,7,8,2000,84,2
1938,311,5,8939,264,9,46,2020,19,7
2152,84,5,17906,444,2,22,2005,145,1
2551,163,10,15079,84,5,49,2000,56,2
2426,168,9,28384,483,3,37,2009,130,7
729,68,3,1837,397,8,14,2009,190,1
200,61,6,8,517,10,39,2017,12,6
2305,158,3,3965,217,10,32,2004,183,3
2632,227,1,2878,626,4,37,2005,22,1
260,273,8,7385,653,7,47,2021,169,6
1467,328,1,21876,334,7,50,2011,70,7
1621,55,3,1983,679,7,23,2018,122,5
321,157,10,22333,441,3,27,2002,148,7
242,135,1,12350,322,10,20,2008,1,1
1735,381,3,11600,657,5,36,2010,1,1
2248,318,3,7000,356,7,42,2000,83,3
449,173,2,24170,187,10,19,2020,42,1
2090,177,2,18152,464,3,10,2001,118,7
1185,105,2,20117,619,6,23,2003,158,3
2750,228,8,29766,438,4,29,2006,53,2
1271,316,3,13403,627,4,23,2002,33,1
1331,213,7,26080,151,4,19,2006,34,1
2076,440,2,13612,81,9,41,2005,40,7
2649,175,7,7835,148,2,24,2002,106,7
880,430,3,9460,258,7,14,2003,74,7
506,160,2,10478,340,5,46,2002,112,4
519,81,2,12453,159,10,1,2006,19,2
1334,411,2,24478,181,8,15,2007,51,7
1517,415,1,1376,504,5,6,2002,162,2
2552,66,3,15371,497,3,24,2003,91,2
1551,377,10,314,225,6,37,2012,187,7
2494,326,7,24847,690,9,21,2016,162,7
2460,141,9,12956,519,7,2,2010,128,2
2721,397,4,19042,182,2,49,2005,18,2
2517,386,8,10250,568,2,27,2014,200,3
151,98,8,2812,309,5,42,2001,38,6
714,59,2,27954,305,6,1,2004,73,7
899,162,5,405,515,5,43,2008,121,6
1757,207,1,11389,105,8,13,2011,40,5
2976,369,7,24088,284,8,39,2005,153,2
1582,362,10,7232,126,10,7,2004,77,7
1554,392,10,1325,164,5,28,2000,90,1
454,362,8,23964,443,7,25,2021,87,1
1377,444,10,19782,134,9,50,2003,74,4
2304,406,5,22958,608,4,23,2016,22,4
499,150,7,23216,252,6,8,2014,109,6
882,402,4,10788,637,7,8,2013,184,2
2858,53,2,26934,402,9,36,2004,77,4
1794,179,6,10470,90,1,37,2003,105,6
1669,388,5,554,263,3,47,2011,70,6
1636,47,1,6326,369,1,34,2009,134,1
1084,159,8,19942,522,9,29,2021,39,3
2495,82,5,2185,368,5,50,2005,144,2
2451,102,2,822,674,2,12,2014,119,5
710,241,10,22870,354,7,20,2005,75,5
2143,363,2,27799,170,9,35,2021,188,7
2213,264,9,25240,242,7,38,2016,101,3
1847,370,9,4573,514,10,7,2016,152,2
322,397,7,3496,575,7,37,2005,105,5
215,65,3,22773,658,8,39,2001,45,5
865,127,9,20641,488,7,5,2010,33,7
1145,159,4,25950,418,7,12,2020,17,1
2694,372,5,4738,648,6,15,2005,3,7
1870,380,3,11338,80,8,22,2017,6,3
1037,128,8,22711,461,10,12,2008,27,3
2834,371,3,19106,335,7,27,2006,73,6
1361,60,2,962,407,10,35,2018,120,2
446,29,9,29173,574,7,17,2005,195,2
1394,326,1,23769,188,1,1,2020,157,5
1949,139,9,15056,281,3,14,2011,71,3
496,91,8,9368,202,5,25,2000,120,5
2365,114,8,22851,222,9,2,2009,188,4
2019,420,5,15954,383,4,5,2020,86,6
2744,394,7,8794,173,2,11,2004,26,1
2322,121,9,28701,395,1,23,2017,119,5
480,222,7,1707,216,5,42,2016,20,7
1621,297,2,3290,687,5,33,2006,10,1
640,240,9,13769,464,6,35,2020,85,5
911,273,3,18065,440,7,45,2018,182,3
727,351,3,1920,624,8,45,2012,37,3
400,138,7,9320,165,3,32,2005,72,4
710,322,9,24200,631,7,12,2017,190,6
2047,335,6,6921,435,2,49,2005,123,1
1925,322,4,21588,341,8,23,2007,152,3
2203,288,6,13555,349,1,8,2010,65,6
1780,187,10,3326,173,7,1,2011,67,6
1787,333,8,22803,466,8,3,2011,88,5
32,396,3,14602,579,1,43,2013,71,1
2072,26,2,29201,95,8,42,2003,2,2
2342,317,8,8767,242,5,27,2000,35,6
1553,416,1,1520,198,9,48,2016,127,7
2590,194,4,15076,399,2,45,2013,119,3
157,225,8,7049,164,3,11,2016,57,6
1669,173,4,23848,576,9,34,2019,24,7
1404,140,6,12330,584,6,4,2018,56,7
1949,226,9,10313,316,10,42,2014,179,3
2401,202,8,20870,677,10,27,2005,58,4
958,88,3,4721,588,3,36,2009,133,2
1284,402,9,12142,659,6,29,2005,96,6
2948,273,2,26161,404,7,45,2016,19,3
576,257,4,3444,559,1,18,2009,190,7
1366,316,6,14795,230,1,9,2002,2,2
2809,243,1,10526,282,3,28,2008,64,7
1911,333,9,26989,662,5,22,2017,188,7
121,167,8,11446,90,3,13,2014,181,5
769,405,5,8258,272,8,11,2020,29,5
1130,51,5,20773,561,10,47,2006,82,3
1488,446,8,15066,676,10,47,2021,52,1
1297,411,5,21387,481,8,40,2000,154,5
1727,212,8,12925,511,8,47,2004,168,3
1233,185,7,3754,304,10,8,2009,122,4
1101,79,6,21839,183,2,20,2004,141,2
2221,309,6,23700,519,10,25,2012,65,7
2757,183,7,27478,102,3,8,2017,23,2
1499,305,1,9552,314,10,50,2011,167,3
506,355,5,19354,272,1,37,2021,134,4
1765,114,2,2133,521,5,46,2005,183,6
170,90,9,4409,655,7,36,2018,84,2
257,53,5,883,251,1,27,2021,60,5
2889,150,9,17371,659,5,32,2000,84,4
1147,52,3,22506,174,3,19,2007,125,7
2228,286,3,29701,221,4,41,2013,197,2
1643,319,6,5410,504,8,40,2000,63,6
2412,15,10,24775,152,1,8,2008,49,5
1521,289,1,7228,272,2,4,2000,65,1
2344,88,6,19725,345,8,42,2000,81,5
1749,145,7,26938,160,3,4,2014,122,2
224,402,7,5100,391,1,42,2008,91,5
713,183,10,15926,218,4,4,2017,92,5
1775,344,2,15251,690,8,20,2004,34,7
1670,275,6,17237,198,6,21,2008,141,4
1027,181,6,27133,495,3,25,2014,96,4
1943,340,7,10656,677,5,38,2008,126,7
1385,215,4,9579,484,5,47,2003,66,6
2300,364,1,25177,368,9,9,2016,171,7
2180,375,5,13415,409,1,34,2019,174,1
867,45,6,23978,676,9,31,2007,122,6
455,187,9,17748,258,6,33,2013,196,7
2642,182,7,3825,374,3,18,2016,66,2
2606,275,5,24587,614,1,1,2018,1,5
764,211,7,3029,588,5,27,2002,189,2
2629,402,9,4534,586,2,29,2006,23,2
1236,125,10,9766,381,9,6,2009,138,1
1565,290,10,29260,690,8,47,2016,121,1
516,129,3,25313,198,8,5,2007,8,4
480,174,5,7263,158,1,48,2006,125,1
1395,110,6,11782,97,7,28,2021,196,4
1988,117,10,25160,401,8,25,2012,112,1
1158,64,5,27443,619,4,36,2010,15,2
2089,170,2,24104,596,6,37,2003,176,4
482,323,1,10422,548,8,20,2008,197,4
2864,182,9,28244,291,10,1,2002,1,7
586,219,10,17547,253,5,32,2007,99,5
1944,160,1,24195,437,5,39,2013,102,6
1492,126,7,21526,138,6,16,2002,31,7
2193,18,4,7937,190,5,20,2017,16,5
1087,238,10,23457,660,7,13,2002,110,3
1465,226,6,20178,366,3,38,2012,42,3
502,274,10,8700,601,6,26,2015,195,3
